CASENO,COMPANY,FUNCTIONAL_GROUP,FUNCTION,FUNCTIONAL_AREA,FUNCTIONAL_LOCATION,FUNCTIONAL_SUB_LOCATION,LOCATION_SID,LOCATION_SHORT,COUNTRY_SHORT,SL_COUNTRY,SL_LOCATION_LVL_1,SL_LOCATION_LVL_2,SL_LOCATION_LVL_3,SL_LOCATION_LVL_4,CASE_OCCURENCE_DATE,TITLE,COMPANY_INVOLVED_TYPE,CASE_TYPE,CASE_SEVERITY,CASE_DESCRIPTION,STATUS,HAZARD,IMM_ACTION_TAKEN_RECOM,FULL_INVESTIGATION_DONE,CREATED_DATE,MODIFIED_DATE,APPROVED_WITHIN_DEADLINE,CASE_CLOSED_DATE,CASES_NO_OF_REGISTRATIONS,VALID_FROM,VALID_TO,POTENTIAL_SEV_LEVEL,RISK_AREA,LEARNINGS_ACTUAL_SEVERITY,LEARNINGS_POTENTIAL_RISK,title_length,description_length,combined_text_length,title_word_count,description_word_count,combined_word_count,binary_label,text_features
32307,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK A (Engineering & Maint) (70019376),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,02/03/2023,100T Crane in the Turbine Hall,Uniper employee,Safety,Near Hits,A lifting operation had been completed on the U4 A SSFP as lifting tackle was being exchanged on the hook a small piece of materials fell from above. On investigation it was a section of insulator which was redundant. A full investigation is in progress.,Processing,Material falling from above,,Not investigated,03/03/2023,1685750400000.0,-- Not selected --,,1.0,07/03/2023 02:50,31/03/2023 01:50,,,,,30,254,284,6,45,51,0,100T Crane in the Turbine Hall. A lifting operation had been completed on the U4 A SSFP as lifting tackle was being exchanged on the hook a small piece of materials fell from above. On investigation it was a section of insulator which was redundant. A full investigation is in progress.
22442,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK A (Engineering & Maint) (70019376),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,28/12/2021,Operational Loss - 4W Switchboard,Uniper employee,Process Safety,Observations,Switchboard & FGD Feeder circuit tripped,Approved,Occupational Safety and Process Safety,U4 FGD Switchboard was re-supplied by Station Interconnector and 4W 11kv Unit Switchboard was P1 defect for am. Unit 4 Mel'd to zero 02:30 - 18:00hrs,Not investigated,28/12/2021,1685750400000.0,No,,1.0,07/03/2023 02:50,29/03/2023 01:50,,,,,33,40,73,5,6,11,1,Operational Loss - 4W Switchboard. Switchboard & FGD Feeder circuit tripped
32288,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),CCGT (70017930),Connahs Quay UK (70019208),HSSE (70019330),8133,PP CON,UK,UK,Gas Turbine Fleet,Connah's Quay,,,02/03/2023,Cables laid in concrete,Uniper employee,Safety,Near Hits,"While carrying out excavation work to find a 6.6kV cable fault for repair, work was stopped when it was found that cables have been laid directly in concrete.  Cables roughly  500mm below ground level and concrete appears to have been poured on to the cables at the end of cable trench before the cables drop below a roadway. No safe way to continue as there were multiple cables in this trench which presumably have all be covered by concrete.",Registered,Occupational Safety and Process Safety,Work was halted as soon as the discovery was made. Contractor stood down from repair works until a full assessment of the situation can be made. Area cordoned off with Heras fencing. Synergi Raised.,Not investigated,03/03/2023,1685750400000.0,-- Not selected --,,1.0,07/03/2023 02:50,21/03/2023 02:50,,,,,23,444,467,4,79,83,0,"Cables laid in concrete. While carrying out excavation work to find a 6.6kV cable fault for repair, work was stopped when it was found that cables have been laid directly in concrete.  Cables roughly  500mm below ground level and concrete appears to have been poured on to the cables at the end of cable trench before the cables drop below a roadway. No safe way to continue as there were multiple cables in this trench which presumably have all be covered by concrete."
25630,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),CCGT (70017930),Enfield UK (70019209),Operations (70019363),4085,Enfield,UK,UK,Gas Turbine Fleet,Enfield,,,18/05/2022,Incomplete HE modification- Permanent KKS tags required on new boiler bullseye system.,Uniper employee,Process Safety,Observations,It has been picked up during a safety walk that there are still temporary KKS tags on the new boiler hydrastep system which was implemented as a modification during HE. These KKS tags should have been permanent and installed prior to the modification being 'signed off'.,Approved,Occupational Safety and Process Safety,Permanent KKS tags need to be ordered/made if not already and installed as soon as practical.,Investigated,18/05/2022,1685750400000.0,No,,1.0,07/03/2023 02:50,05/07/2023 01:51,,,,,86,270,356,12,46,58,1,Incomplete HE modification- Permanent KKS tags required on new boiler bullseye system.. It has been picked up during a safety walk that there are still temporary KKS tags on the new boiler hydrastep system which was implemented as a modification during HE. These KKS tags should have been permanent and installed prior to the modification being 'signed off'.
31531,Uniper Group (70006651) - Uniper,COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK C (Commercial) (70019423),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,31/01/2023,Individual standing on desk to operate blind,Uniper employee,Safety,Observations,"Had to intervene with an Agency worker who climbed on top of a desk to pull the blinds across so they could be closed, as soon as spotted, went over and told them it was unsafe and to get down",Closed,Fall from height (Eg. Vertical drops from above or to below ground),Individual asked to return to ground level safely.,Investigated,31/01/2023,1685664000000.0,Yes,06/02/2023,1.0,09/06/2025 06:04,12/06/2025 10:05,Low,Low Risk,Not Applicable,Low,44,192,236,7,40,47,0,"Individual standing on desk to operate blind. Had to intervene with an Agency worker who climbed on top of a desk to pull the blinds across so they could be closed, as soon as spotted, went over and told them it was unsafe and to get down"
29928,Uniper Group (70006651) - Uniper,COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK A (Engineering & Maint) (70019376),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,22/11/2022,Unknown fluid in barrels left adjacent to waste oil point with no identification,Uniper employee,Environment,Observations,numerous barrels left with no indication of what they contain thus hindering the correct method of disposal,Closed,"Waste (Inc. complaints, technical breaches, issues with classification, segregation, disposal, storage or treatment)",Barrels stored until identification of contents confirmed.,Investigated,28/11/2022,1685664000000.0,No,06/02/2023,1.0,09/05/2025 04:05,10/06/2025 16:05,Very low,Low Risk,Not Applicable,Low,80,107,187,13,17,30,0,Unknown fluid in barrels left adjacent to waste oil point with no identification. numerous barrels left with no indication of what they contain thus hindering the correct method of disposal
21686,Uniper Group (70006651) - Uniper,COO (70017898),Asset Operations (70017927),CCGT (70017930),Enfield UK (70019209),Maintenance (70019370),4085,Enfield,UK,UK,Gas Turbine Fleet,Enfield,,,18/11/2021,Start Up Ejector Silencer Joint Leak,Uniper employee,Process Safety,Observations,"Start Up Ejector Silencer , regular water drip from bolted inlet joint during station run up.",Closed,Occupational Safety and Process Safety,,Investigated,18/11/2021,1685664000000.0,No,06/02/2023,1.0,15/05/2025 14:05,28/05/2025 16:05,Low,Low Risk,Not Applicable,Low,36,93,129,6,16,22,1,"Start Up Ejector Silencer Joint Leak. Start Up Ejector Silencer , regular water drip from bolted inlet joint during station run up."
29562,Uniper Group (70006651) - Uniper,COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK A (Engineering & Maint) (70019376),8108,PP RAT,UK,UK,Steam,Ratcliffe,Scholven,,08/11/2022,PSO - U3 HP Shaft Position Indication Found Reading Off Scale,Uniper employee,Asset and Reputation damage/loss,Observations,"The EC&I team were Investigating an oil leak on U3 HP Shaft position Differential Expansion probe.  It is standard practice to look at the current reading and note any standing alarms before any work is done.  The module was reading -1.25mm hard off scale.  There were no plant alarms standing.  Trending the value on the Ovation DCS revealed that the HP Shaft position had been reading off scale since 22/10/2021, just over 1 year.  Since this date, the generating unit has run many times with no accurate visibility of the turbine shaft position.  It was found that the alarms were not enabled in the measurement module.",Closed,No work-related hazard,"The HP shaft position recalibrated and returned to service.
Module alarms have been re-instated.",Investigated,09/11/2022,1685664000000.0,No,06/02/2023,1.0,05/06/2025 16:05,12/06/2025 12:05,Medium,Low Risk,Not Applicable,Medium,61,622,683,11,106,117,0,"PSO - U3 HP Shaft Position Indication Found Reading Off Scale. The EC&I team were Investigating an oil leak on U3 HP Shaft position Differential Expansion probe.  It is standard practice to look at the current reading and note any standing alarms before any work is done.  The module was reading -1.25mm hard off scale.  There were no plant alarms standing.  Trending the value on the Ovation DCS revealed that the HP Shaft position had been reading off scale since 22/10/2021, just over 1 year.  Since this date, the generating unit has run many times with no accurate visibility of the turbine shaft position.  It was found that the alarms were not enabled in the measurement module."
23054,Uniper Group (70006651) - Uniper,COO (70017898),Asset Operations (70017927),CCGT (70017930),Grain UK (70019210),Production Team (70019314),8138,PP GRA,UK,UK,Gas Turbine Fleet,Grain,,,21/01/2022,NGC Substation Sewage Discharge Pipe,Uniper employee,Environment,Near Hits,John Perry (NGC Grain Substation) contacted CCR to alert us that the sewage discharge pipework that crosses our land and ends up in our sewage pumphouse was blocked. Noted oil in the pit and possible tanker contamination.,Closed,"Waste (Inc. complaints, technical breaches, issues with classification, segregation, disposal, storage or treatment)","Manhole covers raised to check where blockage was situated. Phone calls made to various companies, eventually MTS were booked to come on site. They attended Saturday and were initially unsuccessful in unblocking the pipe. They returned today with a bigger tanker and were successful in unblocking the pipework back to the old Satellite P/P house 1 adjacent to SW P/Phse 1. As this no longer has functioning pumps as a result of the A Site demolition, any excess sewage flows through a 100mm overflow pipe via a torturous route to our sewage pumphouse but it appears that is blocked/fractured. A solution needs to be found going forward, with the cheapest/easiest solution probably being turning the satellite pit into a cesspit and pumping it out as and when required.",Investigated,25/01/2022,1685664000000.0,No,06/02/2023,1.0,09/05/2025 16:05,10/06/2025 16:05,Very low,Low Risk,Not Applicable,Low,36,221,257,5,37,42,0,NGC Substation Sewage Discharge Pipe. John Perry (NGC Grain Substation) contacted CCR to alert us that the sewage discharge pipework that crosses our land and ends up in our sewage pumphouse was blocked. Noted oil in the pit and possible tanker contamination.
28488,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK B (Production) (70019407),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,28/09/2022,SSOW - SAFETY DOCUMENT PLANT IDENTIFICATION ISSUE,Uniper employee,Safety,Observations,SAP created PFW on 'B' Sludge Settlement Tank Rake Oil Pump. PFW was issued. At the point of work the plant/apparatus identification was found to be incorrect but the precautions that were applied were applied to the correct apparatus. The issuing SAP missed the plant/identification error upon issue.,Processing,Loss of Containment,PFW CLEARED. SAP'S INVOLVED WITHDRAWN FROM PFW OFFICE UNTIL INVESTIGATION COMPLETED. AUTH OFFICER AND EXEC INFORMED.,Not investigated,28/09/2022,1685664000000.0,No,,1.0,07/02/2023 02:50,22/02/2023 02:50,,,,,49,301,350,7,48,55,0,SSOW - SAFETY DOCUMENT PLANT IDENTIFICATION ISSUE. SAP created PFW on 'B' Sludge Settlement Tank Rake Oil Pump. PFW was issued. At the point of work the plant/apparatus identification was found to be incorrect but the precautions that were applied were applied to the correct apparatus. The issuing SAP missed the plant/identification error upon issue.
23906,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK A (Engineering & Maint) (70019376),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,25/02/2022,Env Near hit - Loss of Ammonia injection,Uniper employee,Environment,Near Hits,"SCR compressor tripped and standby failed to cut in, resulting in loss of air pressure on all 4 units SCR structures. Loss of injection for approx 30min causing the hourly stack average to breach limits.",Approved,Notification record,"No immediate action taken, C compressor back i/s",Not investigated,25/02/2022,1685664000000.0,No,,1.0,07/02/2023 02:50,21/02/2023 02:50,,,,,40,203,243,8,35,43,0,"Env Near hit - Loss of Ammonia injection. SCR compressor tripped and standby failed to cut in, resulting in loss of air pressure on all 4 units SCR structures. Loss of injection for approx 30min causing the hourly stack average to breach limits."
31517,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK C (Commercial) (70019423),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,27/01/2023,U2A Ash Crusher Pits,Uniper employee,Safety,Observations,"Working in ash crusher pit, hot water and steam entering pit whilst carrying out repairs.",Processing,Contact with hot liquids or gases,Hargreaves were completing the work in the ash crusher pit. They completed the repair and reported the hazard.,Not investigated,31/01/2023,1685664000000.0,-- Not selected --,,1.0,07/02/2023 02:50,14/03/2023 02:50,,,,,20,89,109,4,15,19,0,"U2A Ash Crusher Pits. Working in ash crusher pit, hot water and steam entering pit whilst carrying out repairs."
31734,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK B (Production) (70019407),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,03/02/2023,Sharepoint functionality issues affecting environmental reporting.,Uniper employee,Environment,Observations,"Risks associated with version control, delays in synchronising and embedded links to other files have been identified during the checking process for a range of environmental reporting.   Anomalies and errors  identified and resolved prior to external reporting to regulator.",Registered,Monitoring and Reporting,,Not investigated,06/02/2023,1685664000000.0,-- Not selected --,,1.0,07/02/2023 02:50,14/02/2023 02:50,,,,,66,275,341,6,39,45,0,"Sharepoint functionality issues affecting environmental reporting.. Risks associated with version control, delays in synchronising and embedded links to other files have been identified during the checking process for a range of environmental reporting.   Anomalies and errors  identified and resolved prior to external reporting to regulator."
23798,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),CCGT (70017930),CDCPK (70019211),Business Support CDCPK (70019347),8134,PP COT,UK,UK,Gas Turbine Fleet,CDCPK,CDC,,19/02/2022,Storm damaged HRSG cladding,Uniper employee,Process Safety,Near Hits,Two sections of cladding from the west side of the HRSG were it connects to the main stack have fallen off in the strong winds. The 2 sections above are starting to peel off and are at risk of being blown off in strong winds..,Approved,Occupational Safety and Process Safety,"Exclusion zone created. Site west road barried off to prevent access into the area with strong winds forecast for Sunday / Monday.
The 2 sections that came off have been recovered and put in the Engineering Stores Building.",Investigated,19/02/2022,1685664000000.0,No,,1.0,07/02/2023 02:50,04/04/2023 01:50,,,,,27,226,253,4,45,49,1,Storm damaged HRSG cladding. Two sections of cladding from the west side of the HRSG were it connects to the main stack have fallen off in the strong winds. The 2 sections above are starting to peel off and are at risk of being blown off in strong winds..
25390,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),CCGT (70017930),Grain UK (70019210),Production Team (70019314),8138,PP GRA,UK,UK,Gas Turbine Fleet,Grain,,,09/05/2022,OCGT House Environment management of hazardous materials,Uniper employee,Environment,Observations,In the main OCGT house turbine hall noted several examples of poor or non existent of secondary containment for oil stored and waste oil. Three barrels of oil by GT4 not bunded (one maybe new oil). Two barrels used have clip tops unsuitable for oil storage. All three have no secondary containment.,Approved,Contamination of land,Once roller shutter door is repaired and serviceable waste disposal will be organized,Investigated,09/05/2022,1685664000000.0,No,,1.0,07/02/2023 02:50,03/05/2023 01:50,,,,,56,298,354,7,52,59,0,OCGT House Environment management of hazardous materials. In the main OCGT house turbine hall noted several examples of poor or non existent of secondary containment for oil stored and waste oil. Three barrels of oil by GT4 not bunded (one maybe new oil). Two barrels used have clip tops unsuitable for oil storage. All three have no secondary containment.
25302,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK A (Engineering & Maint) (70019376),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,04/05/2022,PSO - Fire extinguished on U3 2/3 bearing.,Uniper employee,Process Safety,Near Hits,"A Fire was discovered and extinguished on U3 Main turbine 2/3 bearing after the unit had come off-load, suspect this was caused by a oil leak around/below bearing which warmed up/caught alight on hot casing/plinth.",Approved,Presence of a heat source,Fire extinguished & regular fire watch implemented.,Not investigated,04/05/2022,1685664000000.0,No,,1.0,07/02/2023 02:50,03/05/2023 01:50,,,,,42,214,256,8,35,43,1,"PSO - Fire extinguished on U3 2/3 bearing.. A Fire was discovered and extinguished on U3 Main turbine 2/3 bearing after the unit had come off-load, suspect this was caused by a oil leak around/below bearing which warmed up/caught alight on hot casing/plinth."
30715,Uniper Group (70006651) - Uniper,COO (70017898),Asset Operations (70017927),Energy Storage (70017941),Operations UK (70017946),SHEQ (70018216),25232,HGSL,UK,UK,Energy Storage,Holford,,,14/12/2022,Hydrogen Analyser missing,Uniper employee,Process Safety,Near Hits,Whilst reviewing the P&ID's & electrical drawings for the analysis system it was noted that there are connections for a Hydrogen analyser. However there is no hydrogen analyser on site. From looking at the trends on the DCS it last posted data in August 2016.,Closed,Loss of integrity,"No one at site is aware why there is no hydrogen analyser, or why it was seemingly removed. Individual who would have the knowledge is no longer with the business. There are no safety implications of this but captured for posterity as shows a breach of the management of change process.

Action to speak to grid about the requirements for this analyser has been posted on site action tracker.",Investigated,06/01/2023,1685577600000.0,Yes,06/01/2023,1.0,19/05/2025 16:05,12/06/2025 12:05,Very low,Low Risk,Not Applicable,Low,25,259,284,3,45,48,1,Hydrogen Analyser missing. Whilst reviewing the P&ID's & electrical drawings for the analysis system it was noted that there are connections for a Hydrogen analyser. However there is no hydrogen analyser on site. From looking at the trends on the DCS it last posted data in August 2016.
30082,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK A (Engineering & Maint) (70019376),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,04/12/2022,PSNH - 1B ID Fan BVC linkage arm detached,Uniper employee,Process Safety,Near Hits,"Linkage arm found to be detached from BVC and has fallen, AUO visited the area during commissioning as instructed by operations because a negative pressure in the furnace could not be achieved.",Processing,Occupational Safety and Process Safety,Probable cause is that the threaded section was not fully engaged and over time has become looser.,Not investigated,05/12/2022,1685577600000.0,-- Not selected --,,1.0,07/01/2023 02:50,26/01/2023 02:50,,,,,41,193,234,9,32,41,1,"PSNH - 1B ID Fan BVC linkage arm detached. Linkage arm found to be detached from BVC and has fallen, AUO visited the area during commissioning as instructed by operations because a negative pressure in the furnace could not be achieved."
38532,Uniper Group (70006651) - Uniper,COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK C (Commercial) (70019423),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,03/10/2023,Housekeeping standards in the plenum room and evidence of smoking,Uniper employee,Safety,Observations,Whilst completing an inspection the plenum room there was evidence of smoking and poor housekeeping standards,Closed,Incorrect posture or insufficient work environment,,Investigated,03/10/2023,1683849600000.0,No,05/12/2023,1.0,04/06/2025 12:05,12/06/2025 10:05,Low,Low Risk,Not Applicable,Low,65,109,174,10,16,26,0,Housekeeping standards in the plenum room and evidence of smoking. Whilst completing an inspection the plenum room there was evidence of smoking and poor housekeeping standards
38237,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK C (Commercial) (70019423),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,21/09/2023,"Leaking Roof & Wet Floor in E,C&I Engineering Office - No injury sustained.",Uniper employee,Safety,Near Hits,"Slipped on wet floor as a result of roof leaking for a number of years. No injury sustained, simply a slip but this has potential to harm someone.
A bucket has remained on the floor to catch water for a number of years as a long term solution and most recently a warning sign has been attached. This is not a suitable long term solution.",Closed,Slip / Trip / Fall (at the same floor level and on stairs),,Not investigated,22/09/2023,1683849600000.0,No,05/12/2023,1.0,06/11/2024 09:42,06/11/2024 13:15,Low,Low Risk,Not Available / Applicable,Low,75,337,412,13,65,78,0,"Leaking Roof & Wet Floor in E,C&I Engineering Office - No injury sustained.. Slipped on wet floor as a result of roof leaking for a number of years. No injury sustained, simply a slip but this has potential to harm someone.
A bucket has remained on the floor to catch water for a number of years as a long term solution and most recently a warning sign has been attached. This is not a suitable long term solution."
38937,Uniper Group (70006651) - Uniper,COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK C (Commercial) (70019423),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,05/10/2023,Damage To Base Of Station Handrail Post At Pedestrian Crossing On Road 1 & 4.,Uniper employee,Safety,Observations,Damage to base of station handrail post at pedestrian crossing on road 1 & 4.,Closed,Uncontrolled moving object,Raised safety observation form. Repair damaged station handrail post.,Investigated,16/10/2023,1683849600000.0,No,05/12/2023,1.0,20/05/2025 06:05,12/06/2025 10:05,Low,Low Risk,Not Applicable,Low,77,77,154,15,15,30,0,Damage To Base Of Station Handrail Post At Pedestrian Crossing On Road 1 & 4.. Damage to base of station handrail post at pedestrian crossing on road 1 & 4.
40323,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),CCGT (70017930),CDCPK (70019211),Business Support CDCPK (70019347),4083,CDCPK,UK,UK,Gas Turbine Fleet,CDCPK,,,05/12/2023,Delay in Steam Turbine Run up due to DCS SLC's being in the wrong state.,Uniper employee,Operational loss,Near Hits,"During a WOF run up it was noticed that The Steam turbine IP ESV was open but the HP ESV remained closed,  causing a run time error on the ST SGC and failure to run up the Steam turbine. It was discovered that the 2 SLCs on the ATT for HP turbine were selected off White, they should have been on in Green. Also HP limit setpoint (10MAA12DG101) had dropped to zero and had to be manually increased to 105%",Registered,Occupational Safety and Process Safety,Manual intervention required to get ST on load - further investigation required,Not investigated,05/12/2023,1683849600000.0,-- Not selected --,,1.0,06/12/2023 02:50,15/12/2023 02:50,,,,,72,405,477,15,80,95,0,"Delay in Steam Turbine Run up due to DCS SLC's being in the wrong state.. During a WOF run up it was noticed that The Steam turbine IP ESV was open but the HP ESV remained closed,  causing a run time error on the ST SGC and failure to run up the Steam turbine. It was discovered that the 2 SLCs on the ATT for HP turbine were selected off White, they should have been on in Green. Also HP limit setpoint (10MAA12DG101) had dropped to zero and had to be manually increased to 105%"
37496,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),CCGT (70017930),Connahs Quay UK (70019208),Production (70019331),8133,PP CON,UK,UK,Gas Turbine Fleet,Connah's Quay,,,28/08/2023,U3 CRFPP020 MECH SEAL PUMP SYSTEM LABELLING,Uniper employee,Process Safety,Observations,"U3 CRFPP020 MECH SEAL PUMP SYSTEM LABELLING

mech seal labeling / wiring conflicts with the other CW pumps. Mech seal PP022 is operated by flow pump switch 1 and mech seal PP021  is operated by flow pump switch 2 this is different to the other units running CW PP020s . A laminated label has been attached to warn of the possible issue / danger.
Wiring will need to be changed to align with labelling and other units.",Processing,Electricity,"A laminated label has been attached to warn of the possible issue / danger.
Panel wiring to be modified, panel switch labelling to reflect PP021 and PP022 not flow pump 1/flow pump 2",Not investigated,28/08/2023,1683849600000.0,No,,1.0,06/12/2023 02:50,24/02/2024 02:50,,,,,43,417,460,7,77,84,1,"U3 CRFPP020 MECH SEAL PUMP SYSTEM LABELLING. U3 CRFPP020 MECH SEAL PUMP SYSTEM LABELLING

mech seal labeling / wiring conflicts with the other CW pumps. Mech seal PP022 is operated by flow pump switch 1 and mech seal PP021  is operated by flow pump switch 2 this is different to the other units running CW PP020s . A laminated label has been attached to warn of the possible issue / danger.
Wiring will need to be changed to align with labelling and other units."
40227,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),CCGT (70017930),CDCPK (70019211),Engineering (70019348),25395,UK_PIPES,UK,UK,Gas Turbine Fleet,CDCPK,Pipelines,,01/12/2023,Untreated roads and car parks at the bungalow office.,Uniper employee,Safety,Near Hits,Slipped getting out of vehicle onto patch of ice due to the gritting stopping at the top of the road and not caring on down the patch to the bungalow.,Processing,Slip or Trip on liquids/wet floor,,Investigated,01/12/2023,1683849600000.0,-- Not selected --,,1.0,06/12/2023 02:50,16/12/2023 02:50,,,,,53,150,203,9,30,39,0,Untreated roads and car parks at the bungalow office.. Slipped getting out of vehicle onto patch of ice due to the gritting stopping at the top of the road and not caring on down the patch to the bungalow.
40177,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK C (Commercial) (70019423),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,30/11/2023,Cladding with potential to fall,Uniper employee,Safety,Observations,There is a piece of cladding which has come away from the boiler on Unit 3 on the A side of the arch adjacent to the water cannon.,Processing,Material falling from above,,Not investigated,30/11/2023,1683849600000.0,-- Not selected --,,1.0,06/12/2023 02:50,17/01/2024 02:51,,,,,31,130,161,5,28,33,0,Cladding with potential to fall. There is a piece of cladding which has come away from the boiler on Unit 3 on the A side of the arch adjacent to the water cannon.
40057,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),CCGT (70017930),CDCPK (70019211),,4083,CDCPK,UK,UK,Gas Turbine Fleet,CDCPK,,,23/11/2023,Mixed waste in skip,Uniper employee,Environment,Observations,Skip with mixed waste observed in outage compound.,Processing,Incorrect segregation of waste leading to inability to recycle,Reported to CDC Store Man (responsible for waste removal). Skip quarantined and ERSHE notified. Contractors requested to return to site to segregate waste into correct streams.,Not investigated,24/11/2023,1683849600000.0,-- Not selected --,,1.0,06/12/2023 02:50,17/01/2024 02:51,,,,,19,50,69,4,8,12,0,Mixed waste in skip. Skip with mixed waste observed in outage compound.
39784,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),CCGT (70017930),CDCPK (70019211),Business Support CDCPK (70019347),4083,CDCPK,UK,UK,Gas Turbine Fleet,CDCPK,,,21/11/2023,"Carpark walkway, tarmac lifted",Uniper employee,Safety,Observations,Tarmac has been lifted on the walkway through the carpark after the lines have been removed/repainted.,Processing,Slip or Trip over loose objects,,Not investigated,21/11/2023,1683849600000.0,-- Not selected --,,1.0,06/12/2023 02:50,23/01/2024 02:50,,,,,30,102,132,4,16,20,0,"Carpark walkway, tarmac lifted. Tarmac has been lifted on the walkway through the carpark after the lines have been removed/repainted."
37680,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),CCGT (70017930),Connahs Quay UK (70019208),HSSE (70019330),8133,PP CON,UK,UK,Gas Turbine Fleet,Connah's Quay,,,04/09/2023,Lagging pins in walkway,Uniper employee,Safety,Observations,North East corner of U2 boiler wall there are a number of lagging pins that protrude into the descending stairwell and could easily be contacted by a person.,Registered,Striking into an object,Issue reported to SHE lead. Synergi case raised.,Not investigated,04/09/2023,1683590400000.0,-- Not selected --,,1.0,06/09/2023 01:51,19/10/2023 01:50,,,,,23,157,180,4,28,32,0,Lagging pins in walkway. North East corner of U2 boiler wall there are a number of lagging pins that protrude into the descending stairwell and could easily be contacted by a person.
37458,Uniper Group (70006651),COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK C (Commercial) (70019423),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,24/08/2023,Fly tipping of furniture in FGD metal skip,Uniper employee,Environment,Observations,"Metal furniture brought in from home placed in FGD metal skip.  Environment Team were notified by FGD that during a safety walk round they had noticed metal garden furniture in the outage scrap metal skip on the U4 laydown area. It is evident that this has been brought in from home, and recently been placed in the skip (either overnight or first thing this morning).",Processing,Incorrect disposal of waste,To be discussed further in FGD CDM and agree action plan.,Not investigated,24/08/2023,1683590400000.0,-- Not selected --,,1.0,06/09/2023 01:51,14/09/2023 01:51,,,,,42,368,410,8,65,73,0,"Fly tipping of furniture in FGD metal skip. Metal furniture brought in from home placed in FGD metal skip.  Environment Team were notified by FGD that during a safety walk round they had noticed metal garden furniture in the outage scrap metal skip on the U4 laydown area. It is evident that this has been brought in from home, and recently been placed in the skip (either overnight or first thing this morning)."
