CASE_DESCRIPTION,CASE_TYPE,TITLE,LLM_Classification
Oskarshamn 3 - RA3-23 ERF - Person bar inte korrekt skyddsutrustning i utrymme med gul och rodklassad kontaminationszon.,Safety,Oskarshamn 3 - RA3-23 ERF - Person bar inte korrekt skyddsutrustning i utrymme med gul och rodklassad kontaminationszon.,Non-Process Safety
"After suffering a GT trip during the start at 05:30 (separate synergie entered for this) the unit synchronised at 07:30. During the hold period it became evident that the Steam Turbine X5 criteria would not be achieved for a number of hours. GT load was held back at 60MW which is unusual as this load should be around the 90MW mark. GT exhaust temperature was 465 degrees C which seemed low for the required HP steam temperature to clear X5. Theory that some HOF settings may be interring with run up, so a decision was made to shut the unit down and start again. Second attempt HP bypass appeared to behave as expected i.e. in flow control vs pressure control on previous attempt and X5 criteria was clearing at a more accelerated rate. GT load was held the same causing a prolonged hold period of 1hr 10mins vs 40mins expected. Looking back at previous starts the GT load is being pegged back at 60MW vs 90MW expected.",Operational loss,Commercial loss due delayed start.,Non-Process Safety
Alle Heizluefter in sind nicht geprueft,Asset and Reputation damage/loss,Betriebsmittel/Ausruestungen - Heizluefter Schalthaus Buer 1,Non-Process Safety
WP 4.1 B1 Turbin - Flyttad laddstation,Safety,WP 4.1 B1 Turbin - Flyttad laddstation,Non-Process Safety
Auffangraum am Klaereindicker-Silo: Hier hat sich in der Ablaufrinne und in den Ecken Laub angesammelt,Safety,Es hat sich in der Ablaufrinne und in den Ecken Laub angesammelt,Non-Process Safety
Die Pflastersteine um den OElabscheider sind stark vermoost. Bei Naesse herrscht hier starke Rutschgefahr.,Safety,BGL 220kV - OElabscheider - Vermooste Pflasterscheine,Non-Process Safety
Oskarshamn 3 - RA3-24 ERF – Felaktig hantering av platlock,Safety,Oskarshamn 3 - RA3-24 ERF – Felaktig hantering av platlock,Non-Process Safety
"Ebene0,0m: Eingang zum Ammoniakwassertank: (gepruefter) Feuerloescher steht ohne Kennzeichnung auf dem Boden",Safety,Feuerloescher steht ohne Kennzeichnung auf dem Boden,Non-Process Safety
"A Siemens konténerek GF04 és GF08-as helyiségeiben lévő tűzoltó készülékeket jelölő biztonsági jeleket el kell távolítani, mert ott nincsenek készülékek, így azok megtévesztőek.",Safety,A Siemens konténerek GF04 és GF08-as helyiségeiben lévő tűzoltó készülékeket jelölő biztonsági jeleket el kell távolítani.,Non-Process Safety
RW: Im HKH war ein Hinweisschild abgefallen. wurde durch P/TD erneuert.,Safety,RW: Im HKH war ein Hinweisschild abgefallen. wurde durch P/TD erneuert.,Process Safety
"Skyddsblad brannarplan. Det sitter skyddsblad pa mellanplan, men det behover aven sitta skyddsblad pa samtliga plan.",Safety,"Skyddsblad brannarplan. Det sitter skyddsblad pa mellanplan, men det behover aven sitta skyddsblad pa samtliga plan.",Non-Process Safety
"See description from attending first aider:
13:02 -  I was requested by James lang to attend the 3rd floor
13:05 - When attending IP he explained that he could not move position, he was sitting very still in his chair stating that he feels like his back has gone.

•	Initial questions asked: 
•	Where is the pain? - Strip around the middle of the back
•	Any tingling in arms and legs? - No
•	Can you move arms and legs? - Yes
•	What other pains or symptoms do you have? - Back area hurts when breathing
•	Any medial history? - Asthma 
•	Do you have inhaler with you? - Yes
•	Have you carried out any unusual activity or lifting today? - No

13:08 - Call was made to 111 to establish what was the best course of action which was initiated by IP. 
13:13 - IP administrated his own paracetamol to ease the pain
13:18 - IP was helped to his feet to see if there was any issues with walking, this seemed to help and loosen of what seemed like a muscle spasm. 
13:39 - Decided to be taken to hospital which a member of Uniper personnel escorted IP to A+E department of Chester hospital.

Also see following report from Line Manager:
-	At approx. 13:00 on Tuesday 18th Feb, the IP raised concerns to the team that he was having some difficulty in his chair and that his back was seizing up.
-	He was showing signs of discomfort and pain so a station first aider attended. Following discussions that the IP stated that was having pain when breathing but was walking around, the decision was made to take the IP to Hospital. A colleague drove the IP and stayed with him to ensure he was settled and OK.
-	Later in the day the IP informed me that he had been assessed by a doctor and had an Xray which was clear and so the doctor had suggested he has a deep muscle strain and should apply heat and cooling.",,Employee complaining of back pain.,Non-Process Safety
Risiko Weniger: Der Weg zum Zuendgasbehaelter ist mit nassem Laub bedeckt. es beseht Rutschgefahr. das Laub wurde entfernt.,Safety,Risiko Weniger: Der Weg zum Zuendgasbehaelter ist mit nassem Laub bedeckt. es beseht Rutschgefahr. das Laub wurde entfernt.,Non-Process Safety
"Verschmutzung unter Gipsband, hinter LKW-Entladung 

saeubern",Safety,"Verschmutzung unter Gipsband, hinter LKW-Entladung",Non-Process Safety
Zwischen 7:15 Uhr und ca. 14:00 kam es zu einem Ausfall der Waermelieferung von RZR an Uniper,Process Safety,Ausfall RZR Lieferung an Uniper,Non-Process Safety
"Risiko Weniger: Im MH 1 auf 3,5m war eine Stolperstelle in den Gitterrosten entstanden. Diese wurde gesperrt.",Safety,"Risiko Weniger: Im MH 1 auf 3,5m war eine Stolperstelle in den Gitterrosten entstanden. Diese wurde gesperrt.",Non-Process Safety
"Wechselschaltung vorderes Lichtband geht nicht. (Schalter an der Tuer zum 
 Treppenhaus)",Safety,WiVi - Wechselschaltung vorderes Lichtband geht nicht. (Schalter an der Tuer zum Treppenhaus),Non-Process Safety
"Approx. 13.45 I made an observation of a mag drill (not in use) without a guard, I questioned the machinist about the guard not being fitted, he produced what looked like a bespoke homemade free standing guard.
I was concerned at the fact that the manufacturers guard had been removed, this was reported to Doosan safety advisor and Doosan site Manager, the tool was taken out of service whilst Doosan Safety dept look into it, we await feedback .",Safety,Mag base Drill Observed in Workshop without Manufacturers Guard,Non-Process Safety
Oskarshamn 1 - RIO - Obehorig personal anvander sig av radioaktivt materiallappar,Safety,Oskarshamn 1 - RIO - Obehorig personal anvander sig av radioaktivt materiallappar,Non-Process Safety
Piktogram pa ror vittrat sonder.,Safety,Piktogram pa ror vittrat sonder.,Non-Process Safety
WP12.5 risk for fallande foremal 1.R7.08,Safety,WP12.5 risk for fallande foremal 1.R7.08,Non-Process Safety
WP14 hal i vagg = risk for kontaminationsspridning 1R5.31,Operational loss,WP14 hal i vagg = risk for kontaminationsspridning 1R5.31,Non-Process Safety
Oskarshamn 2 - RIO - D4.22 Housekeeping,Safety,Oskarshamn 2 - RIO - D4.22 Housekeeping,Non-Process Safety
Oskarshamn 2 - RIO - D4.22 Bristande ordning pa arbetsplatser,Safety,Oskarshamn 2 - RIO - D4.22 Bristande ordning pa arbetsplatser,Non-Process Safety
Tijdens werkzaamheden van de naastgelegen steenhouwer wordt erg veel stof geproduceerd waardoor de inlaatfilters van de AIro tbv de centrale en electronicaruimtes sterk vervuild raken.,Process Safety,Produceren van enorme stofwolk nabij luchtinlaat AC ruimte Centrale,Non-Process Safety
Risiko Weniger: Am Ostanbau BL4 Aussen war kein Hydrantenschluessel  mehr vorhanden. Es wurde ein neuer bereitgelegt. durch P/TD,Safety,Risiko Weniger: Am Ostanbau BL4 Aussen war kein Hydrantenschluessel  mehr vorhanden. Es wurde ein neuer bereitgelegt. durch P/TD,Non-Process Safety
WP12 Housekeeping,Safety,WP12 Housekeeping,Non-Process Safety
Bleche und Isoliermaterial liegen auf dem Boden.,Safety,HiKe - herumliegende Bleche und Isoliermaterial,Non-Process Safety
Unit 2 pedestrian area between H2 skid and condenser outlet pipes has been barriered off and signed to warn of slipping hazard from oil residue. The area was littered with soaks and very poorly lit.,Safety,Slip/fall risk compounded by poor area management and lighting.,Non-Process Safety
WP12.5 far atgarda hal i golv fran WP6,Safety,WP12.5 far atgarda hal i golv fran WP6,Non-Process Safety
"Bereich Saugzug 2:
alte Schlaeuche 
 entsorgen",Safety,"Begehung Block B Saugzug 2, REA B/C, Werkstattbereich
alte Schlaeuche entsorgen",Non-Process Safety
Im Rahmen einer Begehung wurde ein Sicherheitsdialog mit einer Partnerfirma durchgefuehrt. Es wurden keine unsicheren Situationen und Handlungen beobachtet.,Safety,Sicherheitsdialog,Non-Process Safety
Utdraget nodljus,Safety,Utdraget nodljus,Non-Process Safety
"Az éjszakai műszakban a kondenzátor aknában elhelyezett érzékelők egyikéről riasztás érkezett, a szenzor jelfeldolgozó egysége hibát jelez. (50302 ZÓNA ÉRZÉKELŐ HIBA).",Process Safety,Kondenzátor akna gázveszély riasztás,Non-Process Safety
WP4.1 Sparklist till byggstallning saknas (LL-stallning),Safety,WP4.1 Sparklist till byggstallning saknas (LL-stallning),Non-Process Safety
Oskarshamn 3 - Dorr till Utlamning N1.13 stod uppstalld,Process Safety,Oskarshamn 3 - Dorr till Utlamning N1.13 stod uppstalld,Non-Process Safety
Engineering Office fire alarm sounded - false alarm.  Reported in line with Fire Regs.,Safety,Engineering Office Fire Alarm Activated,Non-Process Safety
"Durchtrennen eines Kabels, dass unter Umstaenden unter Spannung haette stehen koennen. Der Vorfall ereignete sich im Rahmen einer Demontage- und Brandsanierungsarbeit.",Safety,"Durchtrennen eines Kabels, dass unter Umstaenden wieder unter Spannung haette gesetzt werden koennen.",Non-Process Safety
"1) Die Tuer zum 10kV-Kabelboden-Trennerraum wurde offen und verkeilt vorgefunden. Da es sich um einen elektrischen Betriebsraum handelt, sollten die Tueren stets verschlossen sein. 
2) Scherben einer zerstoerten Leuchtstoffroehre direkt vor der Tuer. 
3) Diverser Muell aller Art, auch Mineralwolle, grosszuegig im ganzen Bereich verteilt.
Auch wenn hier aktuell Arbeiten stattfinden, sollte die Baustelle einigermassen aufgeraeumt verlassen werden. Sollte mit dem entsprechenden AvO kommuniziert werden.",Safety,"Kabelboden und Trennerraum, 10kV-Anl., 5,7m - Sauberkeit und Ordnung",Non-Process Safety
WP6 lifting sharp object without sling protection WWB2,Safety,WP6 lifting sharp object without sling protection WWB2,Non-Process Safety
"Door Marcus (onderhoud) wordt melding gedaan van gloeiverschijnselen bij brander 31. Inspectie geeft aan dat nader onderzoek naar de herkomst noodzakelijk is.
PKM is uit bedrijf genomen en er zijn geen blushandelingen verricht.",Process Safety,Brander 31 heeft gloeiverschijnselen,Non-Process Safety
Oskarshamn 2 - RIO - Blockerad utrymningsvag,Safety,Oskarshamn 2 - RIO - Blockerad utrymningsvag,Non-Process Safety
Umkleide und Pausenraum in den Kraftwerken BTH/BIT/BGH/ING nicht getrennt. Pruefung der Moeglichkeiten zur Trennung der Raeume.,,BIT - Trennung Umkleide/Pausenraum,Non-Process Safety
"Begehung: IN 29; Werkstattgebaeude, BIO Waschanlage war nicht geprueft. Pruefung wurde durch I/ET durchgefuehrt",Safety,"Begehung: IN 29; Werkstattgebaeude, BIO Waschanlage war nicht geprueft. Pruefung wurde durch I/ET durchgefuehrt.",Non-Process Safety
WP6 brister i anvandande av fallskydd mm i R3.65/R4.65,Safety,WP6 brister i anvandande av fallskydd mm i R3.65/R4.65,Non-Process Safety
"Na het plaatsen van een nieuwe ammonia lospomp,  is er ammonia lekkage (druppels) geconstateerd voordat er proefgedraaid ging worden.",Process Safety,Ammonia lekkage na plaatsen nieuwe pomp,Non-Process Safety
"Am Dienstag den 19.09.2023 kam es bei Aufwaeltigungsarbeiten auf der Kaverne S27 im Bereich der Garniturhaenger der Workoveranlage zu einer Prozesssicherheitsbeobachtung. Durch den Einbau von verkehrten Slips und Adapterplatten (Keilen) griffen diese die einzubauende Schneidgarnitur nicht. Dies fuehrte Dazu, dass die Schneidgarnitur vertikal um ca. 0,5m nach unten rutschte.",Asset and Reputation damage/loss,Fehlerhafte Slips und Adapterplates (Keile) im Garniturhaenger der Workover Anlage von Well Gear - Epe S27,Non-Process Safety
Hot work above the TX caused small fires under the Bucholz relay and adjacent to the HV terminal box.,Safety,Unit  2 'Y' 11Kv Transformer Fire,Non-Process Safety
WP6 housekeeping can improve,Safety,WP6 housekeeping can improve,Non-Process Safety
During an inspection of the GT enclosure a broken swagelok pipe was found. It has fully sheared and air from the LP OTC is being released (approx. 370 degrees and 17 bar). No impact on local equipment. Access is restricted to GT enclosure at all times.,Process Safety,Broken MBH30 swagelok pipe inside GT enclosure,Non-Process Safety
Bei den Schächten zu den Pumpen des Pumpensumpfes sind die Deckel stets geschlossen zu halten.,Safety,Safety Walk Betrieb,Non-Process Safety
Aussenbereich Verkehrsweg zur REA am Kompressor: Vorhandene Kabel bzw. Schlaeuche liegen auf dem Verkehrsweg (moegliche Stolpergefahr),Safety,Kabel / Schlaeuche liegen auf dem Verkehrsweg,Non-Process Safety
Kessel 7-Ebene nahe KKS 21 RR16 S004 (KondRV v SpWb 1): Am Treppenabgang zur unteren Ebene (Fluchtweg) haengen links neben der Fluchtwegbeschilderung zwei gelbe Hinweisschilder (schief und verschmutzt),Safety,Fluchtwegbeschilderung schief und verschmutzt,Non-Process Safety
WP14 RH fel info pa tag stallningar,Safety,WP14 RH fel info pa tag stallningar,Non-Process Safety
"EFA Turm B/C, Aussenbuehnen Ebene 4,70 m: Buehne mit Schlaeuchen und Muell belegt (Stolpergefahr)",Safety,Buehne mit Schlaeuchen und Muell belegt,Non-Process Safety
"Ebene 52,0 m: Ein Mitarbeiter der Isolierfirma arbeitete ueber Kopf ohne Schutzbrille und hantierte ohne Schutzhandschuhe an den scharfkantigen Blechen der Isolierung.",Safety,Mitarbeiter der Isolierfirma arbeitete ueber Kopf ohne Schutzbrille und Schutzhandschuhe,Non-Process Safety
De kooiladders bij de koelwaterinlaat bij MPP3 zijn in zeer slechte staat en dienen vervangen te worden.,Safety,Zeer slechte kooiladders bij koelewaterinlaat MPP3,Non-Process Safety
Oskarshamn 2 - RIO - Hal som uppstatt efter rivning av komponent har ej sparrats av,Safety,Oskarshamn 2 - RIO - Hal som uppstatt efter rivning av komponent har ej sparrats av,Non-Process Safety
Klamskada,Safety,Klamskada,Non-Process Safety
Begehung vom Streichwehr bei Naesse am KW UMM Wuerzburg kann zu Ausrutschunfaellen fuehren,Safety,Rutschgefahr auf dem Streichwehr,Non-Process Safety
"The rope which starts at the +27m level is used to lower materials from that level to the +0m level. After usage, the rope should have been secured but wasn't. The wind picked up and blew the rope over the Alimak lift and got entangled.",Process Safety,Alimak Lift Rope Incident,Non-Process Safety
Test,Process Safety,Test 2,Non-Process Safety
In der REA 3 auf 0m wurde ein Absperrband nur zum Teil entfernt. Es bestand eine Stolpergefahr. Wurde durch P/S entfernt.,Safety,In der REA 3 auf 0m wurde ein Absperrband nur zum Teil entfernt. Es bestand eine Stolpergefahr. Wurde durch P/S entfernt.,Non-Process Safety
"Dach Kesselhaus Kessel 2 NH4OH (siehe auch Punkt 230): Am Armaturenschrank auf dem Dach liegen wieder vermehrt Reste an Isolierungen, Bleche, Ersatzteile etc.",Safety,"Auf dem Dach des Armaturenschrankes liegen wieder vermehrt Reste an Isolierungen, Bleche, Ersatzteile",Non-Process Safety
Stadning.,Safety,Stadning.,Non-Process Safety
Broken glass scattered across the floor outside the side entrance to the Main Control Block.,Safety,Broken glass found on floor.,Non-Process Safety
Oskarshamn 2 - RIO - Medarbetare WP1 utan fallsele pa hog hojd,Safety,Oskarshamn 2 - RIO - Medarbetare WP1 utan fallsele pa hog hojd,Non-Process Safety
1a hjalpentavla 2E0334,Safety,1a hjalpentavla 2E0334,Non-Process Safety
WP12.2 halt golv pga ikanol,Safety,WP12.2 halt golv pga ikanol,Non-Process Safety
"Auf dem Frischluftkanal 74m wurde ein Gitterrost an das Gelaender angelehnt, dies haette durch die Vibrationen herunterfallen koennen. Die Fallhoehe betraegt ca. 4m. Das Gitterrost wurde so auf der Buehne abgelegt, dass es nicht mehr herunterfallen kann.",Safety,Gefahr das ein Gitterrost herunterfaellt.,Non-Process Safety
Utrymningsvagar anvands som forvaringsutrymme.,Safety,Utrymningsvagar anvands som forvaringsutrymme.,Non-Process Safety
WP6 ev asbest felaktigt hanterat,Safety,WP6 ev asbest felaktigt hanterat,Non-Process Safety
Oskarshamn 1 - RIO - STS - Personer som ej var direkt delaktiga i radiologiskt utmanande aktivitet i reaktorhallen var pa plats i reaktorhallen,Safety,Oskarshamn 1 - RIO - STS - Personer som ej var direkt delaktiga i radiologiskt utmanande aktivitet i reaktorhallen var pa plats i reaktorhallen,Non-Process Safety
Oskarshamn 0 - Lastning/lossning av avfallscontainer sker vid gangstrak utan avsparrning,Safety,Oskarshamn 0 - Lastning/lossning av avfallscontainer sker vid gangstrak utan avsparrning,Non-Process Safety
Beleuchtung im Bereich Werkwasserkuehler (Molchbecken) unzureichend.,Safety,Keller Block 4 - unzureichende Beleuchtung,Non-Process Safety
Lasta ventiler,Safety,Lasta ventiler,Non-Process Safety
1a hjalpentavla V0301A,Safety,1a hjalpentavla V0301A,Non-Process Safety
Fixen Containers fortsatt placerade for nara schakten,Safety,Fixen Containers fortsatt placerade for nara schakten,Non-Process Safety
Risiko Weniger: Im ER Gebaeude ist die Beleuchtung ausgefallen. diese wird durch I/ET bis 29.02 erneuert.,Safety,Risiko Weniger: Im ER Gebaeude ist die Beleuchtung ausgefallen. diese wird durch I/ET bis 29.02 erneuert.,Non-Process Safety
"Begehung: An der Pforte soll an der Schranke ein Unterkriechschutz angebracht werden.  durch IP . bis 31.01.2024
Nach nochmaliger Pruefung wird dies Massnahme nicht durchgefuehrt Rueckmeldung durch IP / I Beck",Safety,"Begehung: An der Pforte soll an der Schranke ein Unterkriechschutz angebracht werden.  durch IP . bis 31.01.2024
Nach nochmaliger Pruefung wird dies Massnahme nicht durchgefuehrt Rueckmeldung durch IP / I Beck",Non-Process Safety
"Heizwerk Westerholt
Pumpenhaus: Hier gibt es noch eine Bodenschwelle im Bereich LKW-Anlieferung (= Bodenwanne), die noch nicht schwarz-gelb markiert ist.",Safety,Bodenschwelle im Bereich LKW-Anlieferung,Non-Process Safety
Dalig planering,Safety,Dalig planering,Non-Process Safety
Liste der Schaltberechtigten aktualisieren in allen Steuerzellen aufhaengen.,Information Security,Datteln 380KV Steuerzellen 02UBA Schaltberechtigung,Non-Process Safety
Fallrisk.,Safety,Fallrisk.,Non-Process Safety
Oskarshamn 2 - RIO - Avsaknad av hjalm,Safety,Oskarshamn 2 - RIO - Avsaknad av hjalm,Non-Process Safety
All units have been Mel'd to zero overnight (all planned to shutdown) to minimise usage of NH3 due to lower than normal level and delivery not expected until 12:00hrs Monday 13/12/21.,Process Safety,Op Loss - Ammonia storage capacity,Non-Process Safety
"Risiko Weniger: BL 3 ; Batterieraum, Die Tuere ist defekt wurde repariert.",Safety,"Risiko Weniger: BL 3 ; Batterieraum, Die Tuere ist defekt wurde repariert.",Non-Process Safety
"Klaeranlage. Entleerung Bunker. Kabel, neu verlegen, Stolper Gefahr",Safety,"Kabel, neu verlegen",Non-Process Safety
B2 RH - mycket overlamnad skrot och utrustning,Safety,B2 RH - mycket overlamnad skrot och utrustning,Non-Process Safety
"Raum mit Salzsaeurelagerung, 2 Ebenen nach oben im Bereich Weisskalktank Tops: Augendusche Hygiene und Koerperdusche – ungluecklicher Standort ueber dem Verkehrsweg der Gitterrosttreppe, bei Benutzung tropft das Wasser bis nach unten, teilweise an Beleuchtungselementen vorbei",Safety,falscher Standort fuer Augendusche Hygiene und Koerperdusche,Non-Process Safety
Snubbelrisk pa arbetsplatsen identifierad.,Safety,Snubbelrisk pa arbetsplatsen identifierad.,Non-Process Safety
WP1 empty eye washer,Safety,WP1 empty eye washer,Non-Process Safety
Dle Fluchtwegsbeschilderung verweist abhaengig von der Blickrichtung in unterschiedliche Richtungen.,Safety,Nicht eindeutige Fluchtwegsbeschilderung Kesselhaus Block 2 39m,Non-Process Safety
Fehlendes Feuerloescher Piktogramm vor der Werkstatt,Safety,Fehlendes Feuerloescher Piktogramm,Non-Process Safety
Oskarshamn 1 - RIO - Vakt pa kontrollerat omrade utan hjalm,Safety,Oskarshamn 1 - RIO - Vakt pa kontrollerat omrade utan hjalm,Non-Process Safety
Markning av nodutgangar/verksamhetsomrade.,Safety,Markning av nodutgangar/verksamhetsomrade.,Non-Process Safety
Stark lukt fran borttagning av klotter i hissarna,Safety,Stark lukt fran borttagning av klotter i hissarna,Non-Process Safety
"EFA Turm B/C Bedienvorraum LKW Entladung, Ebene 0,0 m: 2 Telefone am Bedientableau verdreckt, funktionieren aber wohl noch",Safety,Telefone am Bedientableau verdreckt,Non-Process Safety
"Beim Transportieren von defekten Europaletten, loeste sich ein Holzkeil aus dem Stapel, welcher hinter den Hubmast des Gabelstaplers fiel. Beim Anziehen des Gabelmastes quetschte der heruntergefallene Keil die Leitung des Seitenhubes, sodass dieser beschaedigt wurde.",Process Safety,Beinaheunfall,Non-Process Safety
WP12.5 ej godkand vinkelslip R3.41,Safety,WP12.5 ej godkand vinkelslip R3.41,Non-Process Safety
WP14 fallande foremal,Safety,WP14 fallande foremal,Non-Process Safety
Zauntor am Rohwasserentnahmebauwerk laesst sich durch eine Wurzel im Erdboden nicht mehr vollstaendig oeffnen. Durch die Wurzel besteht auch eine Stolpergefahr.,Safety,Description,Non-Process Safety
"U3 Secondary air duct has had a number of asbestos samples taken that have not been resealed, this is on a part of the plant that is clearly marked and identified to contain ACM (Asbestos Containing Materials) It is not known how long these exposed area's have been uncovered.",Safety,Poor adherence to Asbestos sampling procedure.,Non-Process Safety
"0m KH Eingang rechts neben der Tuer und links vom Raucherbereich
Bei der Abzweigdose ist die linke Einfuehrung defekt",Safety,linke Einfuehrung bei der Abzweigdose defekt,Non-Process Safety
"Bucket and cloths on evacutation route in T0303, B1",Safety,"Bucket and cloths on evacutation route in T0303, B1",Non-Process Safety
"OVT, risk for fallande foremal",Safety,"OVT, risk for fallande foremal",Non-Process Safety
"Bei den Abbau-Arbeiten des OEl-Dunstgeblaeses 1 ist eine erhebliche
Menge OEl oberhalb des Turbinenoelbehaelters ueber das Geruest in die
Wanne gelaufen. Da in diesem Bereich Kontrollgaenge durchgefuehrt werden,
ist eine zeitnahe Reinigung erforderlich. Das Geruest ist in diesem Zustand nicht begehbar, Kontrolle durch Fa. Nietiedt erforderlich.",Safety,"Block 4, Turbinenraum - OElverschmutzung",Non-Process Safety
"Kuehlturm:
1. Besuch:
2 Mitarbeiter waren dabei Drahtseile aus den Materialboxen in den Kuehlturm zu ziehen.
Diskussion warum Schutzbrille (welche chemische Gefaehrdungen denn auftreten…)
2. Besuch:
AvO sehr ""unentspannt"". Immer noch Diskussionen...",Safety,Tragepflicht Schutzbrillen,Non-Process Safety
Beg: 10; Block 3 RAA; Auf 30m wurden Gefahr Stoffe mit der alten Kennzeichnung gefunden. diese wurden durch Q/CH entsorgt.,Safety,Beg: 10; Block 3 RAA; Auf 30m wurden Gefahr Stoffe mit der alten Kennzeichnung gefunden. diese wurden durch Q/CH entsorgt.,Non-Process Safety
WP 4.1. Unclear marking of WP 4.1 workarea at 2 places.,Safety,WP 4.1. Unclear marking of WP 4.1 workarea at 2 places.,Non-Process Safety
WP5 Personal fran Fixgruppen arbetade under hangande last,Safety,WP5 Personal fran Fixgruppen arbetade under hangande last,Non-Process Safety
Erdgasreduzierstation - Brandlasten,Safety,Erdgasreduzierstation - Brandlasten,Non-Process Safety
"Begehung: Block 1 / 2, Zur Abtrennung der Ablage und Durchgangsbereichen sind im Kesselhaus und im MH Ketten anzubringen. durch I/MT bis 31.07.23",Safety,"Begehung: Block 1 / 2, Zur Abtrennung der Ablage und Durchgangsbereichen sind im Kesselhaus und im MH Ketten anzubringen. durch I/MT bis 31.07.23",Non-Process Safety
WP12.3 snubbelrisk R209/10,Safety,WP12.3 snubbelrisk R209/10,Non-Process Safety
"AEussere HCL Leckage. Die Membrane ist durchgestrahlt. Kommt aus Kontrolloeffnung Medium. Um das HCL-Zumessgefaess ""sinnvoll"" zu entleeren wird auch noch VE-Bahn 1 regeneriert.
Armatur muss komplett erneuert werden ( neuer Ventiltyp mit anderen Endschaltern )",Process Safety,"HCL Leckage, Ventil undicht",Non-Process Safety
"Brister vid lyft ner i container, WP1",Safety,"Brister vid lyft ner i container, WP1",Non-Process Safety
"Risiko Weniger: Im KE Raum Bl 3 11,2m liegen Brandlasten. Diese werden durch E/ET bis 31.08. entfernt.",Safety,"Risiko Weniger: Im KE Raum Bl 3 11,2m liegen Brandlasten. Diese werden durch E/ET bis 31.08. entfernt.",Non-Process Safety
Begehung: In 10; RAA Block 3 ; auf 20 Meter ist der Boden durch den Kran mit Fett verschmutzt. wird durch I/MT bis Nov. instandgesetzt.,Safety,Begehung: In 10; RAA Block 3 ; auf 20 Meter ist der Boden durch den Kran mit Fett verschmutzt. wird durch I/MT bis Nov. instandgesetzt.,Non-Process Safety
Im Rahmen der Sicherheitsbegehung wurde der Treppenturm von Bernhard Meixner und Stefan Ritter begangen.,Process Safety,Phoenix Begehung- Treppenturm,Non-Process Safety
"WP6 transportoppning, utrymningslinjer saknas i wet well B1",Safety,"WP6 transportoppning, utrymningslinjer saknas i wet well B1",Non-Process Safety
"1)	Randall’s operative with short sleeves – requested to pull sleeves down
2)	Randall’s operatives x 3 not wearing masks and within 2m 
3)	APC operatives on Fin fan cooler supports, wearing masks periodically but frequently within 2m without masks being pulled up. 
4)	APC Welder on PCC roof – Seen not wearing hard hat, this was noted upon my entry and exit. This amounts to circa 15 minutes. UTG HSE Rep  was advised and went and challenged the operative. APC colleagues up there were switching between welding masks and hard hat, has removal of a hard hat been incorporated in their risk assessment? Particularly with the crane operations in the area.
5)	APC operative witnessed walking from the Randall's smoke hut, onto the CDM area, walking about in the general 41 PCC locality. Individual was on his  mobile phone, not wearing a mask nor wearing his safety glasses.",Process Safety,Grain Sync Comp Project -,Non-Process Safety
"Notlicht-Anlage stand auf Stoerung, wurde auch am 23.06.2022 um 13.43 h im Leitsystem gemeldet",Safety,Notlicht-Anlage UW Zweckel Schalthaus,Non-Process Safety
Risiko Weniger: Auf den Buergersteig vor dem Ostanbau BL 3 wurden Tueren abgelegt. Stolperstelle. Diese wurden durch I/MT entfernt.,Safety,Risiko Weniger: Auf den Buergersteig vor dem Ostanbau BL 3 wurden Tueren abgelegt. Stolperstelle. Diese wurden durch I/MT entfernt.,Non-Process Safety
Felaktig lastsakring pa pall i isolerverkstaden WP4 / fixen,Safety,Felaktig lastsakring pa pall i isolerverkstaden WP4 / fixen,Non-Process Safety
Klotter B1 plan 10 vid avsokningsramen/dorr till trappa upp till plan 11,Process Safety,Klotter B1 plan 10 vid avsokningsramen/dorr till trappa upp till plan 11,Non-Process Safety
"Der Bereich um den Reservegeneratorrotor und Reservegeneratorstator wird aktuell gepflastert.
Diese ermoeglicht in Zukunft einen guten Zugang zu den Ersatzteilen.

Ein negativer Befund:
Ein Radlader mit Gabel wurde gefunden.
Die Last war nicht abgelegt und ohne Aufsicht.
Der Fahrer konnte auf die Schnelle nicht gefunden werden.
Eine Unterweisung konnte nicht direkt erfolgen.",Safety,"Radlader mit Last auf der Gabel ohne Aufsicht
Bereich Reservegeneratorrotor und Reservegeneratorstator",Non-Process Safety
Oskarshamn 0  – TIL - Snurrstol i entrén pa UBH gick av i foten,Safety,Oskarshamn 0  – TIL - Snurrstol i entrén pa UBH gick av i foten,Non-Process Safety
Fehlende Brandabschottung (offene Wanddurchbrueche),Process Safety,Schlaegel-Eisen 3/4 - Fehlende Brandabschottung (offene Wanddurchbrueche),Non-Process Safety
"Kessel 7, Ebene 9,0 m: Im Bereich des Brenners 4 und auf der Rueckseite ist jeweils eine Deckenleuchte defekt",Safety,Deckenleuchte defekt,Non-Process Safety
Am Dieseltank an der KFZ wurde eine alte verrottete Kippmulde abgestellt,Safety,Verrottete Kippmulde abgestellt,Non-Process Safety
Begehung: IN 3; im Werkzeugraum von dem Tagdienst wurden Erdungsgarnituren gelagert. diese wurden durch I/ET aufgeraeumt.,Safety,Begehung: IN 3; im Werkzeugraum von dem Tagdienst wurden Erdungsgarnituren gelagert. diese wurden durch I/ET aufgeraeumt.,Non-Process Safety
An der Tuer muesste die Hinweis-Beschilderung erneuert werden.,Safety,HSSE: Hinweis-Beschilderung erneuern,Non-Process Safety
